Name,Number,Price
元大台灣50反1,00632R,4.91
復華台灣科技優息,00929,17.22
復華富時不動產,00712,8.72
富邦恒生國企正2,00665L,6.13
元大滬深300正2,00637L,12.46
國泰永續高股息,00878,19.86
國泰20年美債,00687B,28.36
群益台灣精選高息,00919,20.32
元大美債20正2,00680L,7.48
元大高股息,0056,33.47
元大投資級公司債,00720B,31.34
元大美債20年,00679B,27.75
統一美債20年,00931B,13.43
期街口布蘭特正2,00715L,18.18
中信中國50正2,00753L,7.41
期元大S&P原油反1,00673R,7.34
復華香港正2,00650L,9.73
元大AAA至A公司債,00751B,31.20
國泰10Y+金融債,00933B,14.72
國泰20年美債正2,00688L,7.42
富邦NASDAQ反1,00671R,4.98
富邦特選高股息30,00900,12.54
富邦美債20年,00696B,28.75
中信關鍵半導體,00891,14.27
國泰台灣領袖50,00922,15.33
國泰台灣5G+,00881,16.67
中信中國高股息,00882,10.51
富邦上証正2,00633L,31.20
群益台ESG低碳50,00923,15.55
元大台灣50,0050,123.95
中信電池及儲能,00902,9.68
永豐台灣ESG,00888,13.27
國泰臺灣加權反1,00664R,5.53
富邦臺灣加權反1,00676R,3.06
中信高評級公司債,00772B,32.30
群益投資級電信債,00722B,33.52
富邦越南,00885,11.88
國泰智能電動車,00893,15.85
中信美國公債20年,00795B,27.76
富邦全球投等債,00740B,36.18
富邦台灣半導體,00892,12.55
元大台灣50正2,00631L,127.25
凱基優選高股息30,00915,20.61
國泰美國道瓊反1,00669R,8.36
群益投資級金融債,00724B,30.55
國泰中國A50正2,00655L,21.59
永豐20年美公債,00857B,23.65
元大台灣高息低波,00713,46.59
國泰費城半導體,00830,31.36
富邦A級公司債,00746B,33.39
富邦台50,006208,71.60
群益半導體收益,00927,15.48
富邦臺灣加權正2,00675L,51.45
富邦日本正2,00640L,38.47
永豐優息存股,00907,13.77
永豐ESG低碳高息,00930,16.16
中信綠能及電動車,00896,14.95
FT臺灣Smart,00905,9.61
兆豐永續高息等權,00932,15.01
期元大S&P石油,00642U,18.94
期元大S&P日圓正2,00706L,7.31
大華優利高填息30,00918,20.07
富邦公司治理,00692,30.93
群益25年美債,00764B,28.15
元大臺灣ESG永續,00850,32.76
國泰股利精選30,00701,24.59
富邦日本,00645,30.70
元大美債1-3,00719B,31.47
國泰投資級公司債,00725B,33.83
國泰美國道瓊正2,00852L,18.09
新光臺灣半導體30,00904,13.20
元大日經225,00661,39.77
期元大S&P黃金正2,00708L,26.39
富邦上証反1,00634R,4.94
國泰中國A50,00636,19.40
富邦NASDAQ正2,00670L,77.95
中信美國公債0-1,00864B,44.14
富邦未來車,00895,18.07
統一FANG+,00757,58.25
統一美債10年Aa-A,00853B,26.54
復華中國5G,00877,9.58
兆豐龍頭等權重,00921,17.38
富邦基因免疫生技,00897,6.12
期元大S&P黃金反1,00674R,12.32
中信優先金融債,00773B,32.71
中信特選金融,00917,15.06
富邦NASDAQ,00662,60.95
復華S&P500成長,00924,16.69
中信臺灣智慧50,00912,14.42
富邦上証,006205,28.67
中信投資級公司債,00862B,29.25
台新JPM新興債,00734B,14.67
期元大美元指正2,00683L,22.86
國泰數位支付服務,00909,17.00
元大S&P500反1,00648R,7.02
富邦深100,00639,10.49
復華香港反1,00651R,9.56
中信中國50,00752,17.02
富邦元宇宙,00903,10.99
富邦入息REITs+,00908,11.04
